date,open,high,low,close,volume
9/24/2019 0:00,3.25,3.31,3.2,3.26,4597500
9/25/2019 0:00,3.23,3.45,3.15,3.31,14896500
9/26/2019 0:00,3.32,3.6,3.31,3.52,31426000
9/27/2019 0:00,3.52,3.7,3.45,3.63,17578500
9/30/2019 0:00,3.7,3.72,3.37,3.55,55568500
10/1/2019 0:00,3.59,3.8,3.51,3.77,22886000
10/2/2019 0:00,3.8,3.84,3.71,3.75,10057000
10/3/2019 0:00,3.72,4.16,3.66,4.09,35771000
10/4/2019 0:00,4.1,4.14,3.96,4.05,7139500
10/7/2019 0:00,4.06,4.24,3.97,4.11,16879500
10/8/2019 0:00,4.13,4.23,4.01,4.05,7679000
10/9/2019 0:00,4.1,4.16,3.98,4.03,8924500
10/10/2019 0:00,4.03,4.27,4.03,4.18,16513500
10/11/2019 0:00,4.2,4.26,4.09,4.12,10239500
10/14/2019 0:00,4.13,4.13,3.99,4.01,4942500
10/15/2019 0:00,4.03,4.07,3.95,3.98,4753500
10/16/2019 0:00,4,4.12,3.96,3.98,11825000
10/17/2019 0:00,4,4.01,3.86,3.9,5195500
10/18/2019 0:00,3.91,3.97,3.86,3.89,1153000
10/21/2019 0:00,3.87,3.87,3.64,3.68,11200000
10/22/2019 0:00,3.62,3.78,3.62,3.72,2796000
10/23/2019 0:00,3.73,3.84,3.73,3.76,2122000
10/24/2019 0:00,3.83,3.88,3.71,3.73,2850000
10/25/2019 0:00,3.75,3.8,3.66,3.68,5148000
10/28/2019 0:00,3.75,3.79,3.66,3.74,2484500
10/29/2019 0:00,3.78,3.78,3.63,3.67,7115000
10/30/2019 0:00,3.67,3.71,3.55,3.57,2729000
10/31/2019 0:00,3.64,3.73,3.6,3.7,3130500
11/1/2019 0:00,3.65,3.92,3.62,3.77,6479500
11/4/2019 0:00,3.78,3.94,3.78,3.85,8075500
11/5/2019 0:00,3.84,3.98,3.8,3.86,7844000
11/6/2019 0:00,3.93,4.06,3.88,3.91,14700500
11/7/2019 0:00,4,4,3.85,3.87,3602000
11/8/2019 0:00,3.88,4.12,3.85,4,10087500
11/11/2019 0:00,4.06,4.11,4.02,4.04,8878500
11/12/2019 0:00,4.08,4.16,4.02,4.06,8990000
11/13/2019 0:00,4.08,4.08,3.98,4.01,5727000
11/14/2019 0:00,4.02,4.09,3.97,4,5905500
11/15/2019 0:00,4.04,4.13,3.98,4.1,12254500
11/18/2019 0:00,4.12,4.38,4.1,4.31,28386500
